0 [137260498984000] INFO perfrun.launcher <> - Launcher main begin
1 [137260498984000] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [137260498984000] INFO perfrun.launcher <> - Launcher instance created
1 [137260498984000] INFO perfrun.launcher <> - argc = 6; cmdline = /home/canut/intel/oneapi/advisor/2025.1/bin64/advixe-runss --ui-output-format xml --ui-output-fd 179 --context-value-list 
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = None
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 0
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPDriverAvailable; value = false
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPMICDriverAvailable; value = false
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isNMIWatchDogTimerRunning; value = false
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU_NAME; value = Unknown
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU; value = Unknown
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PMU; value = Unknown
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = platformType; value = 0
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = referenceFrequency; value = 2138956000
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
154 [137260498984000] INFO perfrun.launcher <> - Application exit code: 0
154 [137260498984000] INFO perfrun.launcher <> - Exit code: 0
