0 [133704139902016] INFO perfrun.launcher <> - Launcher main begin
1 [133704139902016] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [133704139902016] INFO perfrun.launcher <> - Launcher instance created
1 [133704139902016] INFO perfrun.launcher <> - argc = 6; cmdline = /home/canut/intel/oneapi/advisor/2025.1/bin64/advixe-runss --ui-output-format xml --ui-output-fd 182 --context-value-list 
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = true
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 6.8.0-60-generic
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = None
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 0
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPDriverAvailable; value = false
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPMICDriverAvailable; value = false
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isNMIWatchDogTimerRunning; value = false
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU_NAME; value = Unknown
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU; value = Unknown
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PMU; value = Unknown
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = platformType; value = 0
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = referenceFrequency; value = 4740896000
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
114 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
114 [133704139902016] INFO perfrun.launcher <> - Application exit code: 0
114 [133704139902016] INFO perfrun.launcher <> - Exit code: 0
